ID,Name,Description
EO1,Virtue Ethics / Eudaimonism,Ethics centered on the cultivation of good character and the virtues needed for human flourishing (eudaimonia).
EO2,Civic / Communitarian Ethics,"Ethics centered on civic duty, the common good, and the individual's obligations to community and polity."
EO3,No Systematic Ethics,"Philosophers who did not develop, or are not primarily known for, a systematic ethical theory."
EO4,Existentialist Ethics,"Ethics centered on individual freedom, authenticity, and the self-creation of one's own values."
EO5,Christian / Divine Command Ethics,"Ethics grounded in Christian revelation, divine command, grace, and the imitation of Christ."
EO6,Buddhist / Hindu / Jain Ethics,"Ethics centered on compassion, non-violence, and liberation from suffering as developed in Buddhist, Hindu, and Jain traditions."
EO7,Deontology / Rights-based Ethics,"Ethics centered on duty, moral rules, and individual rights rather than consequences or character."
EO8,Socialist / Emancipatory Ethics,"Ethics centered on class emancipation, liberation from oppression, and the critique of exploitative social structures."
EO9,Consequentialism / Utilitarianism,"Ethics that judges actions by their outcomes, especially the overall balance of happiness or well-being they produce."
EO10,Discourse / Recognition Ethics,"Ethics grounded in mutual recognition, communicative rationality, and norms justified through open discourse."
EO11,Confucian / Daoist Ethics,"Ethics centered on ritual propriety, role-based relationships, or natural spontaneity as developed in Confucian and Daoist thought."
EO12,Stoic / Contemplative Ethics,"Ethics centered on inner tranquility, self-mastery, and living in accordance with nature or reason."
EO13,Anti-colonial / Solidarity Ethics,Ethics centered on liberation from colonial and racial oppression and solidarity among the oppressed.
EO14,Feminist / Care Ethics,"Ethics centered on care, relationality, and the critique of gender inequality in traditional moral theory."
EO15,Islamic Ethics,"Ethics grounded in Islamic revelation, law, and the cultivation of virtue within an Islamic framework."
