ID,BirthYear,DeathYear,Region,Civilization/Tradition,Era,School/Movement,CoreTeachings,HistoricalContext,PrimaryTopics,MetaphysicalStance,EpistemologicalStance,EthicalOrientation,PoliticalOrientation,ReligiousOrientation,KeyWorks,Tags
P001,-470,-399.0,Greece,Ancient Greek,Ancient,Socratic,"Socrates focused on ethical inquiry and the examination of one’s life through relentless questioning. He developed the elenchus, a method of dialogue that exposes contradictions in a person’s beliefs to move toward clearer understanding. Socrates claimed ignorance rather than expertise, emphasizing intellectual humility and the priority of caring for the soul over wealth or reputation. His philosophy is known mostly through the writings of his students, especially Plato.","Socrates lived in classical Athens during its golden age and its subsequent political turmoil, including the Peloponnesian War and the fall of Athenian democracy. He was a citizen-soldier as well as a public intellectual who conversed in marketplaces and public spaces rather than in a formal school. Condemned to death on charges of impiety and corrupting the youth, he became a symbol of philosophical integrity in the face of political pressure.",Ethics;Epistemology;Political Philosophy,Moral Intellectualism;Theistic (Greek civic religion),Socratic Inquiry;Skeptical Method,Virtue Ethics;Eudaimonism,Critical of Athenian Democracy;Not Systematically Programmatic,Pagan Greek,Apology;Crito;Phaedo (as portrayed by Plato),Athenian democracy;Elenchus;Martyr for philosophy
P002,-427,-347.0,Greece,Ancient Greek,Ancient,Platonism,"Plato developed the theory of Forms, positing an intelligible realm of perfect, unchanging realities that ground the imperfect objects of sense experience. He used dialogues featuring Socrates to explore questions of justice, knowledge, love, and the good life, often contrasting appearance with reality. In political philosophy, he proposed a hierarchical, merit-based city ruled by philosopher-kings who know the Form of the Good. He viewed philosophy as a process of turning the soul away from the sensible toward the intelligible and ultimately toward the Good.","Plato was born into an aristocratic Athenian family in the aftermath of the Peloponnesian War. A follower and admirer of Socrates, he witnessed his teacher’s trial and execution, which deeply shaped his suspicion of democratic politics. Plato founded the Academy in Athens, one of the earliest institutions of higher learning in the Western world, attracting students from across the Greek world.",Metaphysics;Epistemology;Ethics;Political Philosophy;Aesthetics,Realism about Abstracta (Forms);Dualism (Forms and sensible world),Rationalism,Virtue Ethics;Eudaimonism,Critical of Democracy;Elitist;Philosopher-King Model,Pagan Greek,Republic;Phaedo;Symposium;Phaedrus;Timaeus,Academy;Theory of Forms;Philosopher-kings
P003,-384,-322.0,Greece,Ancient Greek,Ancient,Aristotelianism,"Aristotle developed a comprehensive philosophical system covering logic, metaphysics, ethics, politics, biology, and physics. He emphasized empirical observation and explained change and being in terms of substance, form, matter, and four causes. In ethics, he argued that human flourishing (eudaimonia) arises from cultivating moral and intellectual virtues through habituation and practical wisdom. His political philosophy analyzes constitutions and defends a mixed polity aimed at the common good, with citizens participating in rational deliberation.","Born in Stagira in northern Greece, Aristotle studied in Plato’s Academy in Athens for about twenty years. He later became tutor to Alexander the Great, giving him close contact with Macedonian imperial power. Afterward he founded his own school, the Lyceum, in Athens, conducting empirical research and lecturing in an era of expanding Hellenistic kingdoms and rich scientific inquiry.",Metaphysics;Logic;Ethics;Political Philosophy;Philosophy of Science,Aristotelian Realism;Hylomorphism,Moderate Empiricism,Virtue Ethics;Eudaimonism,Republican (classical);Mixed Constitution,Pagan Greek; Theistic (Unmoved Mover),Nicomachean Ethics;Metaphysics;Politics;Physics;Posterior Analytics,Lyceum;Peripatetic school;Tutor of Alexander the Great
P004,-341,-270.0,Greece,Ancient Greek,Hellenistic,Epicureanism,"Epicurus taught that the goal of life is ataraxia, a state of tranquility and freedom from disturbance, achieved by modest pleasures, friendship, and philosophical reflection. He adopted an atomistic physics in which all things are composed of atoms moving in the void, denying divine providence and fear of the afterlife. Ethically, he distinguished natural and necessary desires from vain and unlimited ones, encouraging a simple life that minimizes pain. His philosophy offers a therapeutic approach to fear, especially fear of gods and death.","Epicurus lived during the Hellenistic period following Alexander’s conquests, when Greek city-states had lost independence and new cosmopolitan kingdoms emerged. He founded a school known as “the Garden” in Athens, welcoming women and slaves as students. Operating outside traditional political life, his community cultivated withdrawal from public strife in favor of friendship and philosophical discussion.",Metaphysics;Ethics;Philosophy of Religion,Materialism (Atomism),Empiricism; Canonical Criteria of Truth,Hedonism (refined);Tranquility-centered Ethics,Political Quietism;Withdrawal from Politics,Non-theistic (gods exist but indifferent);Critic of Popular Religion,Letter to Menoeceus;Principal Doctrines;Vatican Sayings,Garden;Ataraxia;Atomism
P005,-334,-262.0,Greece,Ancient Greek,Hellenistic,Stoicism (Early),"Zeno of Citium founded the Stoic school, teaching that living in accordance with nature and reason is the highest good. He identified virtue as the only true good and regarded external things like wealth or health as indifferent in themselves. Stoic physics presented a rational, providential cosmos structured by pneuma (a divine, fiery breath) permeating all things. For Zeno, the sage attains inner freedom by aligning judgments and desires with the rational order of the world.","Originally from Citium on Cyprus, Zeno came to Athens after a shipwreck and studied with Cynics and other philosophers before founding his own school. He began teaching in the Stoa Poikile (Painted Porch) in Athens, from which Stoicism gets its name. He worked during the Hellenistic era, when traditional polis structures were weakening and philosophers increasingly addressed individual flourishing within larger empires.",Ethics;Metaphysics;Logic,Materialism (corporealism);Pantheism,Empiricism (with rational structure of cosmos),Virtue Ethics; Eudaimonistic Stoicism,Accepts Monarchy and Empire; Focus on Inner Freedom rather than Political Reform,Pagan Greek; Pantheistic,Fragments; Testimonia (reported doctrines),Founder of Stoicism;Stoa Poikile;Hellenistic Athens
P006,55,135.0,Europe,Ancient Greek,Hellenistic,Stoicism (Roman Imperial),"Epictetus taught that we must distinguish between what is in our control—our judgments, desires, and aversions—and what is not, such as health, reputation, and external events. Virtue and inner freedom arise from focusing exclusively on what lies within our power and accepting the rest with equanimity. He emphasized practical exercises, constant self-examination, and living as citizens of a rational, providential cosmos. His teachings offer a highly practical, therapeutic form of ethics oriented toward resilience and integrity.","Epictetus was born a slave in the Roman Empire, likely in Phrygia, and later gained his freedom and founded a school in Nicopolis in Greece. His discourses were recorded by his student Arrian in the early second century CE, during the period of the Roman Principate. Living under imperial rule, he focused less on institutional politics and more on personal moral agency within given social conditions.",Ethics;Philosophy of Life;Philosophy of Religion,Materialism (Stoic corporealism);Pantheism,Empiricism with Rational Order; Practical Reason,Virtue Ethics; Stoic Ethics; Eudaimonism,Accommodating to Empire; Emphasis on Inner Freedom,Pagan (Stoic theism),Discourses; Enchiridion (Handbook),Roman Stoicism;Practical philosophy;Slave to teacher
P007,-4,65.0,Europe,Ancient Roman,Ancient,Stoicism (Roman Imperial),"Seneca developed a Roman version of Stoicism that integrates rigorous ethical ideals with reflections on emotion, power, and mortality. He stressed the importance of daily self-examination, preparation for adversity, and the cultivation of inner independence amid external fortune. While endorsing the Stoic view that virtue is the only true good, he acknowledged the psychological difficulty of fully living up to this standard and offered consolations and practical advice. His writings combine moral philosophy with literary style, making Stoicism accessible as guidance for life.","Seneca was born in Roman Hispania and became a leading statesman, advisor, and later critic of the emperor Nero. As a wealthy senator and writer in the early Roman Empire, he experienced the tensions between philosophical ideals and political involvement. Accused of conspiracy, he was ordered to commit suicide, embodying the Stoic ideal of meeting death with composure.",Ethics;Political Philosophy;Philosophy of Life,Materialism (Stoic corporealism);Pantheism,Empiricism with Rational Order; Practical Reason,Virtue Ethics; Stoic Ethics; Eudaimonism,Engaged with Imperial Politics; Critical of Tyranny; Advocate of Moderation,Pagan (Stoic theism),Letters to Lucilius; On the Shortness of Life; On Anger; On the Happy Life,Roman Stoicism;Advisor to Nero;Philosophy as consolation
P008,121,180.0,Europe,Ancient Roman,Ancient,Stoicism (Roman Imperial),"Marcus Aurelius applied Stoic philosophy to the life of a Roman emperor, emphasizing duty, rational self-governance, and acceptance of fate. In his private reflections, he counsels himself to focus on the present moment, to see events as expressions of a rational, providential order, and to cultivate kindness and justice. He treats philosophical practice as continual inner work to align thought and action with nature and reason. His Meditations offer a rare window into how Stoicism can guide leadership and personal conduct under immense responsibility.","Marcus Aurelius was born into a prominent Roman family and was adopted into the imperial line, eventually becoming emperor in the second century CE. He ruled during a time of military conflict and plague along the empire’s frontiers. Writing his Meditations in Greek while on campaign, he struggled to embody Stoic ideals while dealing with the burdens of imperial rule.",Ethics;Political Philosophy;Philosophy of Life,Materialism (Stoic corporealism);Pantheism,Empiricism with Rational Order; Practical Reason,Virtue Ethics; Stoic Ethics; Eudaimonism,Imperial Ruler; Benevolent Autocrat; Duty-focused,Pagan (Stoic theism),Meditations,Philosopher-king;Roman emperor;Personal reflections
P009,204,270.0,Middle East,Ancient Greek (Hellenistic),Ancient,Neoplatonism,"Plotinus developed a metaphysical system centered on the One, an ineffable first principle from which Intellect and Soul emanate. He interpreted reality as a hierarchical procession from unity to multiplicity, with the material world as the lowest level of being. The soul’s task is to turn back toward its source through contemplation, purification, and an ascent beyond discursive thought. His thought provided a bridge between classical Platonism and later religious philosophies, emphasizing mystical union with the One as the highest good.","Plotinus was born in Roman Egypt and later taught in Rome in the third century CE, when the Roman Empire was facing political instability and religious diversification. He studied under Ammonius Saccas in Alexandria before founding his own circle of students. His teachings were compiled by his disciple Porphyry into the Enneads, shaping late antique philosophy and influencing Christian, Islamic, and Jewish thinkers.",Metaphysics;Philosophy of Religion;Ethics,Monism; Emanationist Idealism,Rational Intuition; Mystical Insight,Contemplative Ethics; Ascent of the Soul,Generally Apolitical; Focus on Inner Ascent,Pagan (Late Antique Platonism),Enneads,Mysticism;Late antiquity;Influence on Christian and Islamic thought
P010,354,430.0,Africa,Latin Christian,Medieval,Christian Platonism,"Augustine developed a Christian philosophy that integrates Platonist metaphysics with doctrines of creation, grace, and salvation. He emphasized the restlessness of the human heart apart from God and the centrality of divine grace in overcoming disordered loves and sin. His account of time, memory, and the interior self in the Confessions made inwardness and self-examination central to Western thought. In political and theological works, he contrasted the earthly city, marked by love of self, with the City of God, ordered by love of God.","Augustine was born in Roman North Africa to a pagan father and Christian mother and was educated in rhetoric. After a period as a teacher and follower of Manichaeism, he converted to Christianity in Milan and later became bishop of Hippo. He lived during the decline of the Western Roman Empire, responding to crises such as the sack of Rome and controversies over heresy and church authority.",Metaphysics;Philosophy of Religion;Ethics;Political Philosophy,Christian Theism; Platonist-leaning,Faith Seeking Understanding; Illuminationism,Christian Virtue Ethics; Divine Grace-centered Ethics,Supports Christian Empire; Two Cities Distinction,Christian (Catholic),Confessions; City of God; On the Trinity,Late Antiquity;Church Father;North Africa
P011,480,524.0,Europe,Latin Christian,Medieval,Late Antique Christian Philosophy,"Boethius sought to preserve and transmit Greek philosophical thought, especially Aristotelian logic, to the Latin West. In the Consolation of Philosophy, he reflects on fortune, happiness, and providence from a philosophical standpoint, arguing that true happiness lies in the highest good identified with God. He offers an influential account of divine foreknowledge and human free will, claiming that God’s knowledge is eternal rather than temporal. His work bridges classical philosophy and medieval Christian theology.","Boethius was born into an elite Roman family in the Ostrogothic kingdom that succeeded the Western Roman Empire. Educated in both Latin and Greek traditions, he served as a high official under the Ostrogothic king Theodoric. Accused of treason, he wrote the Consolation of Philosophy while imprisoned and awaiting execution, shaping medieval views on fortune and suffering.",Metaphysics;Philosophy of Religion;Ethics,Christian Theism; Neoplatonism,Rationalism; Theological Reflection,Eudaimonist Ethics Ordered to the Highest Good,Engaged in Late Roman Politics; Concerned with Just Rule,Christian (Catholic),The Consolation of Philosophy; Treatises on Logic,Transmission of Greek thought;Problem of evil;Divine foreknowledge
P012,1033,1109.0,Europe,Latin Christian,Medieval,Scholasticism,"Anselm articulated the motto that theology is faith seeking understanding and used reason to clarify and defend Christian doctrines. He is best known for formulating the ontological argument for God’s existence, reasoning from the concept of a being than which none greater can be conceived. He also developed influential views on the incarnation and atonement, portraying Christ’s work as satisfying divine justice. His approach combined deep piety with confidence in rational argument in service of faith.","Anselm was born in Aosta in what is now Italy, became a Benedictine monk at Bec in Normandy, and later served as Archbishop of Canterbury. He worked during the Gregorian Reform era, amid conflicts between church and secular rulers over authority and investiture. His writings respond both to internal theological debates and to the need to articulate Christian belief in a more rigorous, philosophical form.",Metaphysics;Philosophy of Religion;Ethics,Christian Theism; Moderate Realism,Rational Theism; A Priori Argumentation,Christian Virtue Ethics; Obedience and Charity,Supports Papal Reform; Advocates Ecclesiastical Authority,Christian (Catholic),Proslogion; Monologion; Cur Deus Homo,Ontological argument;Faith and reason;Archbishop of Canterbury
P013,1225,1274.0,Europe,Latin Christian,Medieval,Scholasticism;Thomism,"Aquinas synthesized Aristotelian philosophy with Christian theology, developing a comprehensive account of being, causality, and the relation between faith and reason. He argued that natural reason can demonstrate certain truths about God, such as his existence and attributes, while revelation discloses mysteries beyond reason’s reach. In ethics and politics, he defended a natural law view in which human goods and moral norms are grounded in human nature and ordered to ultimate union with God. His distinctions between essence and existence, act and potency, and different types of law became central to later Catholic thought.","Born into a noble family in southern Italy, Aquinas studied first with Benedictines and then at the University of Paris under Albert the Great. He joined the Dominican Order and taught in both Paris and Italy during a time when newly translated works of Aristotle were transforming European intellectual life. His work emerged in the context of university debates, concerns about Aristotelianism’s compatibility with Christianity, and the institutional growth of mendicant orders.",Metaphysics;Philosophy of Religion;Ethics;Political Philosophy;Philosophy of Law,Christian Theism; Aristotelian Realism,Moderate Realism; Empirically Informed Rationalism,Natural Law Ethics; Christian Virtue Ethics,Supports Christian Monarchy and Hierarchy; Common Good Focus,Christian (Catholic),Summa Theologiae; Summa contra Gentiles; Commentary on the Sentences,Dominican;University of Paris;Natural law
P014,1266,1308.0,Europe,Latin Christian,Medieval,Scholasticism;Scotism,"Duns Scotus developed a subtle metaphysics emphasizing the univocity of being—that being is said in the same sense of God and creatures—and the formal distinction among aspects of things. He argued for the primacy of the will over the intellect and defended a robust account of human freedom. In theology, he offered original views on the incarnation and the Immaculate Conception of Mary. His work complicates and revises the Thomistic synthesis while remaining within scholastic frameworks.","Scotus, probably born in Scotland or northern England, became a Franciscan friar and studied and taught at universities in Oxford, Paris, and Cologne. He worked in the scholastic university context of the late 13th and early 14th centuries, when debates between different mendicant orders were intense. His career was marked by relocations due partly to political tensions between the papacy and secular rulers.",Metaphysics;Philosophy of Religion;Ethics,Christian Theism; Moderate Realism,Rational Theology; Subtle Conceptual Distinctions,Christian Virtue Ethics; Voluntarism; Emphasis on Freedom,Supports Ecclesiastical Structures; Not Primarily Political,Christian (Catholic),Ordinatio; Questions on the Metaphysics; Tractatus de Primo Principio,Franciscan;Univocity of being;Subtle Doctor
P015,1287,1347.0,Europe,Latin Christian,Medieval,Scholasticism;Nominalism,"Ockham is known for his nominalism, denying that universals exist outside the mind and treating them as mental or linguistic constructs. He emphasized parsimony in ontology, associated with the principle later called Ockham’s razor, and sharply distinguished faith from reason’s limited powers. In politics, he argued for limits on papal authority and defended the rights of secular rulers and the poverty of mendicant orders. His thought contributed to the eventual breakdown of high scholastic synthesis and the rise of more empirically oriented approaches.","Born in England, Ockham joined the Franciscan Order and studied at Oxford but never completed the formal requirements for a degree, though he lectured on the Sentences. He became embroiled in conflicts between the Franciscans and the papacy over poverty and authority, eventually fleeing to the protection of the Holy Roman Emperor. Living in the early 14th century, he experienced both ecclesiastical upheaval and emerging national monarchies.",Metaphysics;Logic;Political Philosophy;Philosophy of Religion,Christian Theism; Nominalism,Empiricism; Skeptical about Metaphysical Knowledge of Universals,Christian Ethics; Divine Command Leanings,Critical of Papal Supremacy; Defender of Secular Authority,Christian (Catholic),Summa Logicae; Commentary on the Sentences; Political Writings,Nominalism;Ockham’s razor;Franciscan controversies
P016,1138,1204.0,Middle East,Jewish,Medieval,Medieval Jewish Philosophy,"Maimonides developed a rationalist Jewish philosophy deeply influenced by Aristotle and Islamic thinkers, seeking to reconcile revelation with philosophical reason. In The Guide for the Perplexed, he argued that many biblical descriptions of God are metaphorical and defended a negative theology that denies positive attributes of the divine essence. He attempted to harmonize Jewish law with an understanding of human flourishing and intellectual perfection. His work shaped Jewish thought and also influenced Christian and Islamic philosophy.","Born in Córdoba in Muslim-ruled Spain, Maimonides and his family fled persecution, eventually settling in Egypt. There he became a leading rabbi, legal codifier, and physician at the court of the sultan. Living in a multicultural, Islamic context, he drew on Arabic translations of Greek philosophy while addressing the religious and legal needs of Jewish communities across the Mediterranean.",Metaphysics;Philosophy of Religion;Ethics;Legal Philosophy,Jewish Monotheism; Aristotelianism; Negative Theology,Rationalism; Scriptural Hermeneutics,Commandment-centered Ethics; Intellectualist Flourishing,Supports Religious Law within Broader Islamic Polities,Jewish,The Guide for the Perplexed; Mishneh Torah,Andalusian Judaism;Negative theology;Physician
P017,980,1037.0,Middle East,Islamic,Medieval,Islamic Peripatetic Philosophy,"Avicenna created a sophisticated synthesis of Aristotelian philosophy and Islamic theology, developing influential distinctions between essence and existence and arguments for a Necessary Existent. He elaborated a detailed psychology of the soul, including the famous ‘flying man’ thought experiment to show self-awareness independent of the body. His metaphysics and logical works reshaped subsequent Islamic and later Latin scholastic thought. He also integrated philosophical medicine and science into a unified worldview.","Avicenna was born near Bukhara in present-day Uzbekistan and was educated in the Islamic Golden Age, when Greek philosophy was widely studied in Arabic. A precocious scholar and physician, he served various rulers in the Persian and Central Asian regions while composing major philosophical and medical encyclopedias. His career unfolded amid shifting political powers and cultural flourishing in the eastern Islamic world.",Metaphysics;Epistemology;Philosophy of Religion;Philosophy of Mind;Logic,Islamic Monotheism; Aristotelian-Neoplatonist,Rationalism; Demonstrative Science,Intellectualist Ethics; Perfection of the Soul,Advises Rulers; Within Islamic Monarchies,Muslim,The Book of Healing; The Canon of Medicine; Metaphysics of the Shifa,Islamic Golden Age;Essence–existence distinction;Philosopher-physician
P018,1126,1198.0,Middle East,Islamic,Medieval,Islamic Peripatetic Philosophy,"Averroes is renowned for his extensive commentaries on Aristotle, through which he defended the harmony of philosophy and Islamic revelation. He argued that philosophical demonstration and scripture address different audiences and that apparent conflicts should be resolved through allegorical interpretation. His views on the unity of the intellect and the autonomy of philosophy from theology sparked major debates in both Islamic and Latin Christian contexts. In the Latin West he became known as ‘The Commentator’ and influenced scholastic readings of Aristotle.","Averroes was born in Córdoba in al-Andalus (Muslim Spain) and trained as a jurist, theologian, and physician. He served as a judge and court physician under the Almohad dynasty, which at first patronized but later suppressed philosophical study. His works circulated widely in Arabic, Hebrew, and Latin, profoundly shaping medieval debates on Aristotle, faith, and reason.",Metaphysics;Epistemology;Philosophy of Religion;Logic,Islamic Monotheism; Aristotelianism,Rationalism; Emphasis on Demonstration,Ethics of Intellectual Perfection and Legal Obedience,Supports Islamic Rule; Defends Philosophers’ Autonomy,Muslim,"Long, Middle, and Short Commentaries on Aristotle; The Incoherence of the Incoherence",Andalusian philosophy;Aristotle commentator;Faith and reason
