ID,Name,Description
RG1,Europe,"Continental and British Europe from the medieval period onward -- the historical center of gravity for Scholastic, Rationalist, Empiricist, Idealist, and 19th-20th century Continental and Analytic philosophy."
RG2,North America,"The United States and Canada, home to Pragmatism, mid-20th-century Analytic philosophy, and a wide range of contemporary academic and public philosophy."
RG3,India,"The Indian subcontinent, source of the Hindu, Buddhist, and Jain philosophical traditions and their many schools of metaphysics, logic, and liberation."
RG4,China,"China, home to the Confucian, Daoist, Mohist, and Legalist traditions and their many later revivals such as Neo-Confucianism."
RG5,Greece,"Classical and Hellenistic Greece -- the birthplace of Socratic, Platonic, Aristotelian, Stoic, Epicurean, and Skeptical philosophy."
RG6,Middle East,"The Islamic and Jewish philosophical centers of the medieval Middle East, where Greek philosophy was preserved, translated, and extended."
RG7,Africa,Sub-Saharan and continental African philosophical traditions and 20th-century thinkers writing from and about the African experience.
RG8,Japan,"Japan, home to Zen Buddhist philosophy and its distinctive fusion of meditative practice and metaphysics."
RG9,North Africa,"The Mediterranean coast of North Africa, a crossroads of Roman, Christian, and Islamic philosophical influence."
RG10,South America,"South America, home to 20th-century Latin American philosophy engaging liberation, identity, and postcolonial thought."
RG11,Australia,"Australia, representing contemporary Anglophone academic philosophy based in Oceania."
