ID,Name,Description
CV1,Modern European,"The broad current of European philosophy from the Renaissance through the 20th century, spanning Rationalism, Empiricism, Idealism, and Continental and Analytic traditions."
CV2,American,"The philosophical tradition of the United States, from early Pragmatism through 20th-century Analytic and public philosophy."
CV3,Latin Christian,"The Latin-speaking Christian intellectual world of medieval and early modern Europe, centered on Scholasticism and the Church."
CV4,Classical Chinese,"The foundational period of Chinese philosophy, including Confucianism, Daoism, Mohism, and Legalism."
CV5,Ancient Greek,The philosophy of the Greek city-states from the Presocratics through Aristotle.
CV6,Indian Buddhist,"The Buddhist philosophical schools that developed on the Indian subcontinent, from early Buddhism through Madhyamaka and Yogācāra."
CV7,Islamic,"The philosophical tradition of the medieval Islamic world, synthesizing Greek philosophy with Islamic theology and law."
CV8,Indian Hindu,"The Hindu philosophical schools of the Indian subcontinent, including Vedānta, Yoga, Sāṃkhya, and Nyāya."
CV9,Ancient Roman,"The Latin philosophical culture of the Roman Republic and Empire, especially its adaptations of Greek Stoicism and Epicureanism."
CV10,Neo-Confucian,The medieval and early-modern Chinese revival and metaphysical elaboration of classical Confucian ethics.
CV11,African,"Continental African philosophical traditions and movements, including African Socialism and Pan-Africanism."
CV12,Latin American,"20th-century Latin American philosophy, often engaging liberation theology, indigenous thought, and postcolonial critique."
CV13,Ancient Greek (Hellenistic),"The Greek philosophical culture of the Hellenistic period following Alexander's conquests, including Stoicism, Epicureanism, and Skepticism."
CV14,Jewish,"The philosophical tradition growing out of Jewish religious and intellectual life, from medieval rationalism to modern Jewish thought."
CV15,Italian,"The philosophical culture of Renaissance and early modern Italy, especially civic and political humanism."
CV16,Buddhist (Zen),"The Zen Buddhist tradition, especially as it developed in medieval and modern Japan."
CV17,Indian Jain,"The Jain philosophical tradition of the Indian subcontinent, centered on non-violence and its distinctive pluralist metaphysics."
CV18,Caribbean/African,"The philosophical and political thought of the African diaspora in the Caribbean, especially Pan-African and anti-colonial thought."
CV19,Canadian,The philosophical tradition of English and French Canada within the broader North American academic context.
CV20,Western,A general label for philosophers working within the broad modern Western tradition without a more specific national or civilizational tag.
