ID,Name,Description
SM1,Liberal / Political Theory,"Philosophers primarily known for theories of individual rights, the social contract, constitutional government, and the proper limits and justification of state power."
SM2,Analytic Philosophy,"The 20th-century tradition emphasizing logical rigor, careful conceptual analysis, and close engagement with language, science, and formal logic."
SM3,Ancient Greek & Roman,"The classical schools of Greek and Roman antiquity, including Platonism, Aristotelianism, Stoicism, Epicureanism, and Skepticism."
SM4,Existentialism / Phenomenology,"20th-century movements centered on lived experience, consciousness, freedom, and the concrete situation of the individual human being."
SM5,Confucian / Daoist / East Asian,"The classical and later Chinese schools -- Confucianism, Daoism, Mohism, and Legalism -- and their East Asian successors."
SM6,Buddhist / Hindu / Jain,"The major philosophical schools of the Indian subcontinent built around liberation from suffering, including Buddhist, Hindu, and Jain traditions."
SM7,Medieval / Scholastic Christian,"The Latin Christian philosophical tradition of the Middle Ages, synthesizing faith and reason through figures like Aquinas and Scotus."
SM8,Marxism / Critical Theory,"Traditions analyzing society through material and economic structures, ideology, and power, from classical Marxism through the Frankfurt School."
SM9,Post-structuralism / Postmodern Critique,"Late-20th-century movements questioning fixed structures of meaning, identity, and truth through genealogy, deconstruction, and discourse analysis."
SM10,Empiricism,The early modern and later tradition holding that knowledge derives primarily from sense experience rather than innate ideas or pure reason.
SM11,German Idealism / Kantian,The tradition following Kant that grounds reality and knowledge in the structuring activity of mind or spirit.
SM12,Anti-colonial / Africana / Latin American,"20th-century movements of political and cultural thought confronting colonialism, race, and identity in Africa, its diaspora, and Latin America."
SM13,Islamic Philosophy,"The medieval Islamic philosophical tradition (falsafa), integrating Greek philosophy, Islamic theology, and mysticism."
SM14,Rationalism (Early Modern),"The 17th-century tradition holding that reason alone, rather than sense experience, is the primary source of certain knowledge."
SM15,Feminism / Gender Theory,"Philosophical traditions analyzing gender, patriarchy, and the situation of women, from early feminist ethics to later gender theory."
SM16,Pragmatism,The American philosophical tradition holding that the meaning and truth of ideas are tied to their practical consequences.
SM17,Renaissance Humanism,"The revival of classical learning, rhetoric, and civic virtue in Renaissance Europe."
